example_id,conversation_id,tweet_id,customer_message,conversation_context,candidate_intent,final_intent,difficulty,notes
11,12564,1410022,Quite ridiculous that @AmericanAir wants to charge ppl 25.00 because they are group 9 and there won't be room for carry on bags! Straight BS,[No preceding context - conversation start],BAGGAGE_ISSUES,BAGGAGE_ISSUES,medium,Dual-intent overlap: touches both BAGGAGE_ISSUES and REFUNDS_AND_PAYMENTS.
12,13011,1467225,New @AmericanAir “basic economy” bag policy: no access to overhead bins. 1 bag only. https://t.co/KcVs5rfGao,[No preceding context - conversation start],BAGGAGE_ISSUES,BAGGAGE_ISSUES,easy,Unambiguous single-intent signal matching BAGGAGE_ISSUES.
13,13830,1562759,@AmericanAir continued to tell the person I was checking my bag with I should be removed!! I asked for her information and she told me no,[No preceding context - conversation start],BAGGAGE_ISSUES,BAGGAGE_ISSUES,medium,Dual-intent overlap: touches both BAGGAGE_ISSUES and GENERAL_INQUIRY_AND_OTHER.
14,14816,1670839,"@AmericanAir stop charging for checked bags, so people who need to carry-on have space for their bags! #disgruntled",[No preceding context - conversation start],BAGGAGE_ISSUES,BAGGAGE_ISSUES,easy,Unambiguous single-intent signal matching BAGGAGE_ISSUES.
15,16247,1851727,"@AmericanAir question: on PTY-MIA-PHX-16 hr overnight layover-SBP, would PTY luggage be checked thru to SBP or PHX?",[No preceding context - conversation start],BAGGAGE_ISSUES,BAGGAGE_ISSUES,medium,Dual-intent overlap: touches both BAGGAGE_ISSUES and GENERAL_INQUIRY_AND_OTHER.
16,19087,2215457,"@AmericanAir is an absolute JOKE! My luggage never made it to my destination(landed at 12pm), and I was told it would be delivered by 11pm. It’s now 12:30am, and still no luggage with ZERO info from @AmericanAir regarding whereabouts...",[No preceding context - conversation start],BAGGAGE_ISSUES,BAGGAGE_ISSUES,easy,Unambiguous single-intent signal matching BAGGAGE_ISSUES.
17,19755,2276560,I must complement @AmericanAir for having a mobile app that actually shows tracking of your luggage.,[No preceding context - conversation start],BAGGAGE_ISSUES,BAGGAGE_ISSUES,easy,Unambiguous single-intent signal matching BAGGAGE_ISSUES.
18,21506,2434409,@AmericanAir Been here for over an hour already and not one bag…waiting,[No preceding context - conversation start],BAGGAGE_ISSUES,BAGGAGE_ISSUES,easy,Unambiguous single-intent signal matching BAGGAGE_ISSUES.
19,23259,2603762,"@AmericanAir how long does it take to get a response to an email inquiry? over 24h now, what kind of customer service is that? simple question about baggage that we cant seem to get a straight answer on.",[No preceding context - conversation start],BAGGAGE_ISSUES,CUSTOMER_SERVICE_COMPLAINT,hard,"Multi-intent ambiguity spanning 3+ domains: BAGGAGE_ISSUES, CUSTOMER_SERVICE_COMPLAINT, GENERAL_INQUIRY_AND_OTHER."
20,25685,2861922,@AmericanAir - Soshana in Toronto said checked bag payments covered both legs of flight - but just had to pay again? Had to switch airports but why pay twice?,[No preceding context - conversation start],BAGGAGE_ISSUES,REFUNDS_AND_PAYMENTS,medium,Dual-intent overlap: touches both BAGGAGE_ISSUES and REFUNDS_AND_PAYMENTS.
21,736,127507,@AmericanAir why do I have to pay $80 when I'm booking my flight with my earned AAdvantage Credit Card miles?,[No preceding context - conversation start],BOOKING_AND_RESERVATIONS,LOYALTY_AND_AADVANTAGE,hard,"Multi-intent ambiguity spanning 3+ domains: BOOKING_AND_RESERVATIONS, REFUNDS_AND_PAYMENTS, LOYALTY_AND_AADVANTAGE."
22,4104,490997,@AmericanAir I want to confirm a booking can someone DM me so I can give you a ref number,[No preceding context - conversation start],BOOKING_AND_RESERVATIONS,BOOKING_AND_RESERVATIONS,easy,Unambiguous single-intent signal matching BOOKING_AND_RESERVATIONS.
23,5113,620632,Thank you 🙏Titoana at customer service in Phoenix for booking me to Philly! @AmericanAir it’s soooo appreciated!!! (Yeah I took a selfie) https://t.co/X84ekzHun4,[No preceding context - conversation start],BOOKING_AND_RESERVATIONS,BOOKING_AND_RESERVATIONS,hard,"Multi-intent ambiguity spanning 3+ domains: BOOKING_AND_RESERVATIONS, CUSTOMER_SERVICE_COMPLAINT, GENERAL_INQUIRY_AND_OTHER."
24,5218,632347,@AmericanAir dm sent re: re booking,"[1] Customer (269886): ""Love checking in for my flight only to find that my trip has been canceled. Is this a normal business practice for your airline @AmericanAir? https://t.co/kC9i4KNOxj"" | [2] AmericanAir: ""@269886 Canceling a flight is our last option. DM your record locator if you need some help rebooking.""",BOOKING_AND_RESERVATIONS,REFUNDS_AND_PAYMENTS,medium,Short mid-thread customer follow-up; context is essential to disambiguate.
25,6382,771032,How I book the same flight before zack for $131 3 days before him and he books his today and it's only $89 I NEED ANSWERS THIS IS BULL,[No preceding context - conversation start],BOOKING_AND_RESERVATIONS,BOOKING_AND_RESERVATIONS,easy,Unambiguous single-intent signal matching BOOKING_AND_RESERVATIONS.
26,7258,872734,@AmericanAir You have no idea! I somehow booked a flight to IAH for SUNDAY rather than today. Kim at the counter is part angel &amp; part ninja so now on ✈️,"[1] Customer (327197): ""Missed my flight. Lady at CS desk for @AlaskaAir couldn’t get me to IAH until 4am tomorrow. Luckily @AmericanAir to the rescue!  #ALCS"" | [2] AmericanAir: ""@327197 We're happy to help get you to the game!""",BOOKING_AND_RESERVATIONS,BOOKING_AND_RESERVATIONS,easy,Unambiguous single-intent signal matching BOOKING_AND_RESERVATIONS.
27,7826,928535,@AmericanAir I am now booked on a connecting flight which arrive in NYC at midnight.  I left my house at 6am,"[1] Customer (340323): ""@AmericanAir disgusted I have been at airport since 8am. EVERY flight cancelled. No solution."" | [2] Customer (340323): ""@AmericanAir Took off work, have childcare, prepaid for my hotel in NYC. No solution. This is absolutely horrible"" | [3] AmericanAir: ""@340323 We're very sorry for the frustration this causes you. Our airport team provides the next available option for rebooking."" | [4] Customer (340323): ""@AmericanAir I have been rebooked several times since 8am."" | [5] Customer (340323): ""@AmericanAir They keep getting cancelled, weather is fine. First it was pilot did not show up."" | [6] AmericanAir: ""@340323 Please DM your record locator. We'll gladly take a look to see if anything has opened up.""",BOOKING_AND_RESERVATIONS,REBOOKING_AND_CHANGES,easy,Unambiguous single-intent signal matching BOOKING_AND_RESERVATIONS.
28,11577,1297601,@AmericanAir I’ll DM the record locator and my contact information. All details are the same as I posted on twitter. It’ll be too long for a DM.,"[1] Customer (395754): ""What a coincidence that on the day of my incident the @136932 issues a travel advisory for @AmericanAir ?🤔💭 #AmericanAirlines #Discrimination"" | [2] AmericanAir: ""@395754 We don't tolerate discrimination of any kind. Please DM your record locator, all details and contact info.""",BOOKING_AND_RESERVATIONS,GENERAL_INQUIRY_AND_OTHER,medium,Dual-intent overlap: touches both BOOKING_AND_RESERVATIONS and GENERAL_INQUIRY_AND_OTHER.
29,13987,1582331,@AmericanAir You're the airline; you have my record locator. I shouldn't have to do extra work so you can do your job. One more reason I'm loyal @Delta.,"[1] Customer (487048): ""Dirty and broken. @AmericanAir, inherit your fleet from the Soviet Union? Bathroom lock busted too. Had to use hand to keep the door closed. https://t.co/OMr7RhwKTm"" | [2] AmericanAir: ""@487048 We're sorry for any discomfort, Jonathan. Did you let the crew know about the bathroom lock?"" | [3] Customer (487048): ""@AmericanAir Of course. But why so many additional broken items? I was on two flights; it seemed as if neither plane had been serviced for a long time."" | [4] AmericanAir: ""@487048 Please DM your record locator so we can also let our Maintenance team know. Our apologies for the troubles.""",BOOKING_AND_RESERVATIONS,CUSTOMER_SERVICE_COMPLAINT,easy,Unambiguous single-intent signal matching BOOKING_AND_RESERVATIONS.
30,15463,1755604,I have booked and confirmed 9 Hawaiian vacations for my clients and now @70099 not honoring the bookings! Avoid @AmericanAir,[No preceding context - conversation start],BOOKING_AND_RESERVATIONS,BOOKING_AND_RESERVATIONS,easy,Unambiguous single-intent signal matching BOOKING_AND_RESERVATIONS.
31,15764,1791753,@AmericanAir Totes know that( close to 2m miles flown w u)But your site shows it available until u continue to book final itinerary-bad UX or biz logic,"[1] Customer (538179): ""@AmericanAir spent 2hrs tday trying to book award travel on https://t.co/ozNCqjiANH, what is it w/listing flights avail but then not? Grr"" | [2] AmericanAir: ""@538179 Our fares and awards are based on availability. You can check back to see if the award opens up or give our team in Reservations a call.""",BOOKING_AND_RESERVATIONS,BOOKING_AND_RESERVATIONS,medium,Dual-intent overlap: touches both BOOKING_AND_RESERVATIONS and LOYALTY_AND_AADVANTAGE.
32,17292,2010876,@AmericanAir I would hope so because I purposely booked this connecting flight just to be on AA when I could have flown Direct on any other airline. DM,"[1] Customer (246155): ""@AmericanAir Unbelievably bad CS on my last two calls. It’s like nobody at the EXP desk cares about anything."" | [2] AmericanAir: ""@246155 Your loyalty is greatly appreciated and we expect our Executive Platinum team to take great care of you. We're happy to help if we can.""",BOOKING_AND_RESERVATIONS,CUSTOMER_SERVICE_COMPLAINT,easy,Unambiguous single-intent signal matching BOOKING_AND_RESERVATIONS.
33,17857,2078675,Finally booked my flight!!!! Thanks again @AmericanAir Theresa at the call center was a doll! ❤️,[No preceding context - conversation start],BOOKING_AND_RESERVATIONS,BOOKING_AND_RESERVATIONS,medium,Dual-intent overlap: touches both BOOKING_AND_RESERVATIONS and GENERAL_INQUIRY_AND_OTHER.
34,21131,2377358,@AmericanAir Got to love the absolute lack of follow up from @AmericanAir booking with @Delta now,"[1] Customer (685661): ""Note to self: under no circumstances, is there ever a good reason to fly @AmericanAir"" | [2] AmericanAir: ""@685661 We don't like the sound of this, Nick. What's going on?"" | [3] Customer (685661): ""@AmericanAir Waited over an hour for bags because @AmericanAir employees were “on break” absolutely horrendous customer service""",BOOKING_AND_RESERVATIONS,CUSTOMER_SERVICE_COMPLAINT,easy,Unambiguous single-intent signal matching BOOKING_AND_RESERVATIONS.
35,22249,2509601,@AmericanAir has the worst customer service- never encountered such terrible booking and communication when I flew @116450 ..will never book through them ever again. Continue to lie to me and charge me all the fees you want.,[No preceding context - conversation start],BOOKING_AND_RESERVATIONS,CUSTOMER_SERVICE_COMPLAINT,hard,"Multi-intent ambiguity spanning 3+ domains: BOOKING_AND_RESERVATIONS, REFUNDS_AND_PAYMENTS, CUSTOMER_SERVICE_COMPLAINT."
36,22636,2547597,@AmericanAir Whoever I spoke to was rude. And the new basic economy class wasn’t explained to me when booking through a travel agent. I️ am not paying more to sit with my family on my flight.,"[1] Customer (724008): ""@AmericanAir customer service 1 is horrible 2 never taking them again after my flights next week."" | [2] AmericanAir: ""@724008 We strive to provide excellent service, Angela and regret hearing you feel this way. How can we help turn things around?""",BOOKING_AND_RESERVATIONS,CUSTOMER_SERVICE_COMPLAINT,medium,Dual-intent overlap: touches both BOOKING_AND_RESERVATIONS and CUSTOMER_SERVICE_COMPLAINT.
37,24162,2706135,@AmericanAir I booked a flight to Lon. Up to bus w pnts and the rep said the flight would go up by $200/p due to premium taxes. Does that make sense ?,[No preceding context - conversation start],BOOKING_AND_RESERVATIONS,BOOKING_AND_RESERVATIONS,easy,Unambiguous single-intent signal matching BOOKING_AND_RESERVATIONS.
38,24883,2777971,@AmericanAir Forget it. I booked thru Expedia &amp; just looked up and not even going to war is covered so I'm shit out of luck #NotSoAmerican,"[1] Customer (776091): ""Why can't I cancel @AmericanAir flight if I got the insurance?!?! Isn't the point of the insurance to be able to cancel?! WHAT"" | [2] AmericanAir: ""@776091 You can always cancel a reservation, but if you're requesting a refund, you'll need to work with the insurance company for more info."" | [3] Customer (776091): ""@AmericanAir I did &amp; they told me it's your policy that Zika isn't a reason not to travel!? MAJOR risk. Drs note. And have to travel within 3 months...yet HELLO risk still there in that 3 months. What's my option?!?!"" | [4] AmericanAir: ""@776091 Please DM your record locator and we'll take a closer look.""",BOOKING_AND_RESERVATIONS,REFUNDS_AND_PAYMENTS,easy,Unambiguous single-intent signal matching BOOKING_AND_RESERVATIONS.
39,25928,2891428,@AmericanAir I just tried calling Customer Service to book a flight with my miles that I earned and was told I have to pay an expedite charge even though travel is 10 days away.  What's the point of being loyal if you can't use your miles anytime?,[No preceding context - conversation start],BOOKING_AND_RESERVATIONS,LOYALTY_AND_AADVANTAGE,hard,"Multi-intent ambiguity spanning 3+ domains: BOOKING_AND_RESERVATIONS, REFUNDS_AND_PAYMENTS, LOYALTY_AND_AADVANTAGE, CUSTOMER_SERVICE_COMPLAINT."
40,26289,2943933,@AmericanAir so I've done all u asked and no one is responding .. nice way to treat frequent costumer and I have another flight book with guys for the 5th..some loyalty exchange ..smh,[No preceding context - conversation start],BOOKING_AND_RESERVATIONS,CUSTOMER_SERVICE_COMPLAINT,medium,Dual-intent overlap: touches both BOOKING_AND_RESERVATIONS and LOYALTY_AND_AADVANTAGE.
41,2106,296512,@AmericanAir @117157 thank you for convincing me to canx this card. No priority boarding with a platinum card? Useless.,[No preceding context - conversation start],CHECKIN_AND_BOARDING,LOYALTY_AND_AADVANTAGE,hard,"Multi-intent ambiguity spanning 3+ domains: CHECKIN_AND_BOARDING, LOYALTY_AND_AADVANTAGE, GENERAL_INQUIRY_AND_OTHER."
42,4981,603745,@AmericanAir My wife and infant were denied early boarding by staff AGAIN. Clearly not an airline for families.,[No preceding context - conversation start],CHECKIN_AND_BOARDING,CHECKIN_AND_BOARDING,easy,Unambiguous single-intent signal matching CHECKIN_AND_BOARDING.
43,7012,840276,Thanks for the great customer service @AmericanAir waited for an hour and half at the check in desk only to miss my flight#AmericanAirlines,[No preceding context - conversation start],CHECKIN_AND_BOARDING,CHECKIN_AND_BOARDING,hard,"Multi-intent ambiguity spanning 3+ domains: CHECKIN_AND_BOARDING, CUSTOMER_SERVICE_COMPLAINT, GENERAL_INQUIRY_AND_OTHER."
44,7847,930095,@AmericanAir Big thank you to Ricardo (I think) at PHX check in tonight for being patient &amp; helping with the unhelpful checkin kiosks.,"[1] Customer (299230): ""The only bad thing about red eyes is what the hell to do all day/night. @AmericanAir any way to standby on an earlier flight? REQBTQ"" | [2] AmericanAir: ""@299230 Standby isn't an option at this time but we can recommend maybe an eegee's Scary Berry? Have one for us!""",CHECKIN_AND_BOARDING,CHECKIN_AND_BOARDING,hard,"Multi-intent ambiguity spanning 3+ domains: CHECKIN_AND_BOARDING, CUSTOMER_SERVICE_COMPLAINT, GENERAL_INQUIRY_AND_OTHER."
45,7983,943714,.@343753 team about to board this @AmericanAir puddle jumper out of @280314 for a gig in the Great American West - here we go! https://t.co/TQC5aFNozX,[No preceding context - conversation start],CHECKIN_AND_BOARDING,CHECKIN_AND_BOARDING,easy,Unambiguous single-intent signal matching CHECKIN_AND_BOARDING.
46,8402,991301,Thank you @AmericanAir for helping reunite my nan and the love of her life after 58 years!! Thank youGee Khan on your check in desk!! https://t.co/Hv8i4YPOLx,[No preceding context - conversation start],CHECKIN_AND_BOARDING,CHECKIN_AND_BOARDING,medium,Dual-intent overlap: touches both CHECKIN_AND_BOARDING and GENERAL_INQUIRY_AND_OTHER.
47,10102,1150025,"@AmericanAir 1/3 I don’t blame you for giving me someone else’s boarding pass. True, I’m going to Texas not NYC and I’m not a dude named",[No preceding context - conversation start],CHECKIN_AND_BOARDING,CHECKIN_AND_BOARDING,easy,Unambiguous single-intent signal matching CHECKIN_AND_BOARDING.
48,11413,1275267,@AmericanAir Really dissatisfied. AGAIN your computer failed to identify me as TSA Pre and now in a long line to fix it.,[No preceding context - conversation start],CHECKIN_AND_BOARDING,CHECKIN_AND_BOARDING,easy,Unambiguous single-intent signal matching CHECKIN_AND_BOARDING.
49,13865,1568387,@AmericanAir your online boarding pass says there's an error and cannot get our passes. Can you help please?,[No preceding context - conversation start],CHECKIN_AND_BOARDING,CHECKIN_AND_BOARDING,easy,Unambiguous single-intent signal matching CHECKIN_AND_BOARDING.
50,14182,1609299,"@261651 @AmericanAir Yep, completely dodged the question.  This morning no priorty lane at DFW.  This with the disaster that the new illogical TSA process is..","[1] Customer (494094): ""@AmericanAir so now the priority lanes at DFW are gone??"" | [2] Customer (494094): ""@AmericanAir So yes or no - the priorty lanes are gone?""",CHECKIN_AND_BOARDING,CHECKIN_AND_BOARDING,medium,Dual-intent overlap: touches both CHECKIN_AND_BOARDING and GENERAL_INQUIRY_AND_OTHER.
51,16833,1928004,"@AmericanAir Just for everyone else, the person was nice, but nothing was resolved. Even worse, now my boarding pass is screwed up","[1] Customer (169838): ""@AmericanAir - why do I have to waste my time entering all of my info if I just have to do the exact same thing when I check in?"" | [2] AmericanAir: ""@169838 You're welcome to DM your locator and share the details. Please clarify for us."" | [3] Customer (169838): ""@AmericanAir Also I’ve been bounced around places and placed on hold several time just to put in a vegetarian option. So frustrating. Is anyone actually answering the phones?"" | [4] AmericanAir: ""@169838 We've got your DMs and will respond there in just a bit.""",CHECKIN_AND_BOARDING,CHECKIN_AND_BOARDING,easy,Unambiguous single-intent signal matching CHECKIN_AND_BOARDING.
52,17769,2069618,.@AmericanAir  I’m here but TSA won’t let me thru!!! 😳😳😳😳,[No preceding context - conversation start],CHECKIN_AND_BOARDING,CHECKIN_AND_BOARDING,easy,Unambiguous single-intent signal matching CHECKIN_AND_BOARDING.
53,19912,2284238,Boarded flight #2 of the day on @americanair ... thanks for taking such great care of me.,[No preceding context - conversation start],CHECKIN_AND_BOARDING,CHECKIN_AND_BOARDING,medium,Dual-intent overlap: touches both CHECKIN_AND_BOARDING and GENERAL_INQUIRY_AND_OTHER.
54,20926,2359117,"@AmericanAir on my next flight with you I will reach gold AAdvantage status, does that mean I will finally get a boarding group earlier than 6 going forward?",[No preceding context - conversation start],CHECKIN_AND_BOARDING,LOYALTY_AND_AADVANTAGE,medium,Dual-intent overlap: touches both CHECKIN_AND_BOARDING and LOYALTY_AND_AADVANTAGE.
55,22629,2546981,"@AmericanAir your check in is fantastic, very impressed indeed #JFK @428062 https://t.co/K1qzek12ge",[No preceding context - conversation start],CHECKIN_AND_BOARDING,CHECKIN_AND_BOARDING,easy,Unambiguous single-intent signal matching CHECKIN_AND_BOARDING.
56,23919,2681466,Thanks to the gate agent with @AmericanAir at TIA that got our TSA Pre Check sorted out 🙌🤘👍 #YouRock #tsaprecheck #vegasbound #vacationmode,[No preceding context - conversation start],CHECKIN_AND_BOARDING,CHECKIN_AND_BOARDING,hard,"Multi-intent ambiguity spanning 3+ domains: CHECKIN_AND_BOARDING, CUSTOMER_SERVICE_COMPLAINT, GENERAL_INQUIRY_AND_OTHER."
57,25261,2813162,"@AmericanAir AA0342 was supposed to depart at 5:19pm and we have yet to depart. AA reps lied re departure time. Plus, the guests boarded the plane b4 engine checks were performed. We've been on the runway for about an hour with Vague ""updates"". Unacceptable!!!!!!",[No preceding context - conversation start],CHECKIN_AND_BOARDING,FLIGHT_DISRUPTION,easy,Unambiguous single-intent signal matching CHECKIN_AND_BOARDING.
58,25430,2830354,@AmericanAir — you are amazing! On my 8 flight when I showed up at 7:35 w no boarding pass. Thank you!!!,[No preceding context - conversation start],CHECKIN_AND_BOARDING,CHECKIN_AND_BOARDING,medium,Dual-intent overlap: touches both CHECKIN_AND_BOARDING and GENERAL_INQUIRY_AND_OTHER.
59,25651,2857671,@AmericanAir Just last week I wrote you on 2 outstanding employees. Today my feeling of anger and disgust at your service plumbed new depths at checkin at Greenville sc. I will be writing tomo and will want a follow up.,[No preceding context - conversation start],CHECKIN_AND_BOARDING,CUSTOMER_SERVICE_COMPLAINT,easy,Unambiguous single-intent signal matching CHECKIN_AND_BOARDING.
60,25894,2886675,"@British_Airways Hi, thank you for replying. All of our tickets were purchased at the same time but we still see the message “since you’re travelling with an infant (in lap) you’ll need to check in at the airport”. The flight is operated by @AmericanAir if that makes a difference","[1] Customer (800567): ""@British_Airways I am flying from Heathrow tomorrow with an infant. Can I check in at the airport this evening. Thanks""",CHECKIN_AND_BOARDING,CHECKIN_AND_BOARDING,medium,Dual-intent overlap: touches both CHECKIN_AND_BOARDING and GENERAL_INQUIRY_AND_OTHER.
61,1381,219738,Thanks @AmericanAir. Again. Then screwing me over on the 2nd flight because your agent was inept. Awesome. https://t.co/8ciUIpqA3u,[No preceding context - conversation start],CUSTOMER_SERVICE_COMPLAINT,CUSTOMER_SERVICE_COMPLAINT,medium,Dual-intent overlap: touches both CUSTOMER_SERVICE_COMPLAINT and GENERAL_INQUIRY_AND_OTHER.
62,2203,303363,This woman has managed to destroy a light on @AmericanAir 1978. She’s going to force us to turn around if she doesn’t stop with this. She quizzed attendant about safety manual too. https://t.co/az4Ea53uXD,[No preceding context - conversation start],CUSTOMER_SERVICE_COMPLAINT,CUSTOMER_SERVICE_COMPLAINT,easy,Unambiguous single-intent signal matching CUSTOMER_SERVICE_COMPLAINT.
63,2897,368030,@AmericanAir the negative attitude displayed by your representative at the counter of Gate 33 @133384 is appalling.,[No preceding context - conversation start],CUSTOMER_SERVICE_COMPLAINT,CUSTOMER_SERVICE_COMPLAINT,easy,Unambiguous single-intent signal matching CUSTOMER_SERVICE_COMPLAINT.
64,4479,533618,@AmericanAir I'm on flight AA645. We haven't departed yet. Sitting here for 1.5 hrs and counting when Bob the attendant starts a loud conversation with the people behind me as my child tries to sleep then places entire arm on my headrest and my hair. I ask him to stop,[No preceding context - conversation start],CUSTOMER_SERVICE_COMPLAINT,CUSTOMER_SERVICE_COMPLAINT,easy,Unambiguous single-intent signal matching CUSTOMER_SERVICE_COMPLAINT.
65,5783,701903,@AmericanAir Just flew AA for the first time! More than impressed with the customer service! #Salvatore #flight5061 #HappyThanksgiving2017 https://t.co/gQtPbB0vM2,[No preceding context - conversation start],CUSTOMER_SERVICE_COMPLAINT,CUSTOMER_SERVICE_COMPLAINT,easy,Unambiguous single-intent signal matching CUSTOMER_SERVICE_COMPLAINT.
66,6992,838380,Hey @AmericanAir you guys had me check my carry on when there was a Ton of space on my flight. Then the attendant was super rude to me. Thx,[No preceding context - conversation start],CUSTOMER_SERVICE_COMPLAINT,CUSTOMER_SERVICE_COMPLAINT,easy,Unambiguous single-intent signal matching CUSTOMER_SERVICE_COMPLAINT.
67,11293,1262335,"Thank you, super-helpful, gray-haired, male @AmericanAir ticket agent for your help and professionalism this morning! I made my flight!",[No preceding context - conversation start],CUSTOMER_SERVICE_COMPLAINT,CUSTOMER_SERVICE_COMPLAINT,medium,Dual-intent overlap: touches both CUSTOMER_SERVICE_COMPLAINT and GENERAL_INQUIRY_AND_OTHER.
68,14976,1692126,Thank you for the excellent customer service! #americanairlines #nyc2017 @americanair https://t.co/Ehblys7NhU https://t.co/YMyTKwRLXs,[No preceding context - conversation start],CUSTOMER_SERVICE_COMPLAINT,CUSTOMER_SERVICE_COMPLAINT,medium,Dual-intent overlap: touches both CUSTOMER_SERVICE_COMPLAINT and GENERAL_INQUIRY_AND_OTHER.
69,16136,1836823,"@AmericanAir you never know what someone is going through, there is no reason to be rude and disrespectful to a customer.",[No preceding context - conversation start],CUSTOMER_SERVICE_COMPLAINT,CUSTOMER_SERVICE_COMPLAINT,easy,Unambiguous single-intent signal matching CUSTOMER_SERVICE_COMPLAINT.
70,16813,1925009,@AmericanAir Another passenger told AA agent that he was trying to make it to c a relative in hospice who could die&amp; was told nothing they can do.,"[1] Customer (572980): ""@AmericanAir stuck on a runway in MN, flight# 1270 due 2 maintenance issues.The customer service I &amp; others aren’t getting is unacceptable"" | [2] Customer (572980): ""@AmericanAir Been on runway since 6:00am CST Missed connection.Called AA rep&amp; they said can’t do anything 4 me until I make it 2 CHI, my connecting city""",CUSTOMER_SERVICE_COMPLAINT,CUSTOMER_SERVICE_COMPLAINT,easy,Unambiguous single-intent signal matching CUSTOMER_SERVICE_COMPLAINT.
71,18350,2143764,@AmericanAir I spent an hour on the phone with a representative and a manager. Zero help whatsoever.,"[1] Customer (556027): ""@AmericanAir your company and customer support is horrendous. I'll be sticking with @Delta from now on. They've never given me a single problem and actually listen to their customers."" | [2] AmericanAir: ""@556027 We're sorry you're unhappy with us. How can we help?""",CUSTOMER_SERVICE_COMPLAINT,CUSTOMER_SERVICE_COMPLAINT,easy,Unambiguous single-intent signal matching CUSTOMER_SERVICE_COMPLAINT.
72,19193,2233581,@AmericanAir flight attendant Deidre on #1840 just handled a difficult passenger with the utmost sense of professionalism and class. Kudos to her!,[No preceding context - conversation start],CUSTOMER_SERVICE_COMPLAINT,CUSTOMER_SERVICE_COMPLAINT,medium,Dual-intent overlap: touches both CUSTOMER_SERVICE_COMPLAINT and GENERAL_INQUIRY_AND_OTHER.
